Date,High,Low,Open,Close,Volume,Adj Close
2017-05-14,1812.800049,1708.540039,1808.439941,1738.430054,731529024,1738.430054
2017-05-15,1785.939941,1686.540039,1741.699951,1734.449951,959044992,1734.449951
2017-05-16,1864.050049,1661.910034,1726.72998,1839.089966,1064729984,1839.089966
2017-05-17,1904.47998,1807.119995,1818.699951,1888.650024,894321024,1888.650024
2017-05-18,2004.52002,1890.25,1897.369995,1987.709961,1157289984,1987.709961
2017-05-19,2084.72998,1974.920044,1984.23999,2084.72998,961336000,2084.72998
2017-05-20,2119.080078,2037.5,2067.030029,2041.199951,1147859968,2041.199951
2017-05-21,2303.899902,2017.869995,2043.189941,2173.399902,1942220032,2173.399902
2017-05-22,2320.820068,2178.5,2191.560059,2320.419922,1378749952,2320.419922
2017-05-23,2523.719971,2321.370117,2321.370117,2443.639893,1725379968,2443.639893
2017-05-24,2763.709961,2285.300049,2446.23999,2304.97998,2406700032,2304.97998
2017-05-25,2573.790039,2071.98999,2320.889893,2202.419922,1763480064,2202.419922
2017-05-26,2260.199951,1855.829956,2196.27002,2038.869995,1700480000,2038.869995
2017-05-27,2267.340088,2054.080078,2054.080078,2155.800049,1147139968,2155.800049
2017-05-28,2307.050049,2107.169922,2159.429932,2255.610107,994625024,2255.610107
2017-05-29,2301.959961,2124.570068,2255.360107,2175.469971,1443970048,2175.469971
2017-05-30,2311.080078,2145.570068,2187.189941,2286.409912,1544829952,2286.409912
2017-05-31,2448.389893,2288.330078,2288.330078,2407.879883,1653180032,2407.879883
2017-06-01,2488.550049,2373.320068,2404.030029,2488.550049,1317030016,2488.550049
2017-06-02,2581.909912,2423.570068,2493.719971,2515.350098,1514950016,2515.350098
2017-06-03,2585.889893,2452.540039,2547.790039,2511.810059,1355120000,2511.810059
2017-06-04,2686.810059,2510.219971,2512.399902,2686.810059,1369309952,2686.810059
2017-06-05,2999.909912,2690.840088,2690.840088,2863.199951,2089609984,2863.199951
2017-06-06,2869.379883,2700.560059,2869.379883,2732.159912,1517709952,2732.159912
2017-06-07,2815.300049,2670.949951,2720.48999,2805.620117,1281170048,2805.620117
2017-06-08,2901.709961,2795.620117,2807.439941,2823.810059,1348950016,2823.810059
2017-06-09,2950.98999,2746.550049,2828.139893,2947.709961,2018889984,2947.709961
2017-06-10,2996.600098,2840.530029,2942.409912,2958.110107,1752400000,2958.110107
2017-06-11,2997.26001,2518.560059,2953.219971,2659.629883,2569530112,2659.629883
2017-06-12,2789.040039,2650.379883,2680.909912,2717.02002,1781200000,2717.02002
2017-06-13,2786.830078,2412.939941,2716.879883,2506.370117,1696560000,2506.370117
2017-06-14,2534.709961,2212.959961,2499.580078,2464.580078,2026259968,2464.580078
2017-06-15,2539.919922,2385.149902,2469.570068,2518.560059,1195190016,2518.560059
2017-06-16,2685.189941,2484.959961,2514.01001,2655.879883,1534509952,2655.879883
2017-06-17,2662.100098,2516.330078,2655.350098,2548.290039,1178659968,2548.290039
2017-06-18,2662.850098,2549.030029,2549.030029,2589.600098,1446840064,2589.600098
2017-06-19,2763.449951,2589.820068,2591.26001,2721.790039,1854189952,2721.790039
2017-06-20,2772.01001,2660.399902,2709.429932,2689.100098,1626579968,2689.100098
